Statistiche Fantacalcio Stagione 2021 22;;;;;;;;;;;;;;;;;
Id;R;Rm;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
695;D;Dc;Toloi;Atalanta;19;6;6,05;1;0;0;0;0;0;1;6;0;0
787;D;Dc;Djimsiti;Atalanta;29;5,86;5,84;1;0;0;0;0;0;1;6;0;1
790;D;"Ds;Dc";Samir;Udinese;17;5,94;5,79;0;0;0;0;0;0;0;5;0;0
1852;D;"Ds;E";Spinazzola;Roma;2;6,25;6;0;0;0;0;0;0;0;1;0;0
1866;D;Dc;Ceppitelli;Cagliari;21;5,88;5,98;1;0;0;0;0;0;0;3;0;0
1895;D;Dc;Ferrari G.;Sassuolo;36;5,75;5,75;1;0;0;0;0;0;0;4;1;0
2130;D;E;Hateboer;Atalanta;21;5,79;5,74;0;0;0;0;0;0;0;2;0;0
2141;D;"Dd;E";Depaoli;Verona;18;5,83;5,94;1;0;0;0;0;0;1;4;0;0
2171;D;Dc;Lyanco;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0
2614;D;"Dd;E";Odriozola;Fiorentina;25;5,86;5,94;1;0;0;0;0;0;2;4;1;0
2633;D;Dc;Kjaer;Milan;10;6,2;5,9;0;0;0;0;0;0;0;2;0;1
4407;D;"Ds;Dc";Igor;Fiorentina;28;5,8;5,75;0;0;0;0;0;0;0;3;0;0
4433;D;"Dd;Ds;E";Zortea;Salernitana;23;5,78;5,96;1;0;0;0;0;0;2;3;0;0
4983;D;"Dd;E";Ferrer;Spezia;23;5,87;5,93;0;0;0;0;0;0;3;3;0;0
5450;D;"Dd;E";Stojanovic;Empoli;33;5,83;5,79;1;0;0;0;0;0;1;9;1;0
5498;D;"Dd;Dc";Casale;Verona;34;5,85;5,75;0;0;0;0;0;0;1;10;0;0
5686;D;"Dd;Dc;E";Soppy;Udinese;19;5,92;5,82;0;0;0;0;0;0;0;4;0;0
5748;D;"Dd;E";Hefti;Genoa;16;5,81;5,78;0;0;0;0;0;0;0;1;0;0
11;D;"Dd;E";Conti;Sampdoria;4;6;6,62;1;0;0;0;0;0;0;1;0;0
256;D;"Ds;Dc";Juan Jesus;Napoli;15;6,03;6,07;1;0;0;0;0;0;0;1;0;1
287;D;"Dd;Ds;Dc";Caceres;Cagliari;13;5,73;5,85;1;0;0;0;0;0;1;3;1;0
327;D;"Dd;Dc;E";Patric;Lazio;21;5,76;5,71;1;0;0;0;0;0;1;4;1;1
2188;D;"Dd;Ds;E";Marusic;Lazio;33;5,65;5,65;1;0;0;0;0;0;0;4;1;0
2285;D;Dc;Bani;Genoa;17;6;5,97;0;0;0;0;0;0;0;1;0;0
2653;D;"Ds;E";Lykogiannis;Cagliari;25;5,7;5,78;1;0;0;0;0;0;0;2;0;0
2728;D;"Ds;E";Pellegrini Lu.;Juventus;17;6,09;5,97;0;0;0;0;0;0;1;6;0;0
2739;D;"Ds;E";Reca;Spezia;24;5,69;5,71;0;0;0;0;0;0;2;3;0;0
2746;D;"Ds;E";Dijks;Bologna;11;5,95;6,05;0;0;0;0;0;0;2;2;0;0
2865;D;E;Aina;Torino;20;5,92;5,82;0;0;0;0;0;0;0;4;0;0
4185;D;"Dd;E";Maitland-Niles;Roma;8;5,88;5,88;0;0;0;0;0;0;0;0;0;0
4521;D;"Dd;E";Muldur;Sassuolo;25;5,72;5,62;0;0;0;0;0;0;0;5;0;0
4719;D;Dc;Ampadu;Venezia;29;5,83;5,69;0;0;0;0;0;0;3;10;2;0
4895;D;Dc;Yoshida;Sampdoria;24;5,67;5,92;2;0;0;0;0;0;3;2;0;1
4979;D;"Dd;Dc";Ayhan;Sassuolo;18;5,81;5,86;1;0;0;0;0;0;0;2;1;0
5375;D;E;Maehle;Atalanta;23;5,83;5,96;1;0;0;0;0;0;1;2;0;0
5475;D;"Dd;Dc";Amian;Spezia;32;5,72;5,67;1;0;0;0;0;0;1;7;2;0
5693;D;"Ds;Dc";Kiwior;Spezia;22;5,77;5,64;0;0;0;0;0;0;0;6;0;0
5750;D;Dc;Ostigard;Genoa;15;5,63;5,43;0;0;0;0;0;0;0;2;2;0
294;D;Dc;Rugani;Juventus;12;5,96;5,88;0;0;0;0;0;0;0;2;0;0
393;D;"Ds;Dc";Luperto;Empoli;22;5,75;5,61;0;0;0;0;0;0;1;6;1;0
460;D;Dc;Romagnoli;Milan;17;6;6;1;0;0;0;0;0;0;4;1;0
633;D;"Ds;E";Fares;Torino;9;5,83;6,5;2;0;0;0;0;0;1;2;0;0
640;D;"Dd;Dc";Chiriches;Sassuolo;27;5,69;5,61;0;0;0;0;0;0;0;4;0;0
660;D;Dc;Gyomber;Salernitana;30;5,72;5,57;0;0;0;0;0;0;0;9;0;0
662;D;"Ds;E";Alex Sandro;Juventus;27;5,76;5,67;0;0;0;0;0;0;1;3;0;1
770;D;E;Pezzella Giu.;Atalanta;16;5,97;6;0;0;0;0;0;0;2;3;0;0
2083;D;"Dd;Dc;E";Biraschi;Genoa;14;5,61;5,46;0;0;0;0;0;0;0;4;0;0
2104;D;"Dd;E";Bereszynski;Sampdoria;35;5,69;5,6;0;0;0;0;0;0;3;12;0;0
2174;D;"Dd;Ds;E";Venuti;Fiorentina;21;5,79;5,6;0;0;0;0;0;0;0;4;0;1
2289;D;"Ds;E";Dalbert;Cagliari;28;5,7;5,61;0;0;0;0;0;0;2;9;0;0
2318;D;"Ds;E";Rogerio;Sassuolo;22;5,82;5,77;0;0;0;0;0;0;1;5;0;0
2335;D;Dc;Luiz Felipe;Lazio;29;5,86;5,66;0;0;0;0;0;0;0;10;1;0
2724;D;"Ds;Dc";Buongiorno;Torino;18;5,86;5,81;0;0;0;0;0;0;1;5;0;0
2758;D;Dc;Gunter;Verona;30;5,8;5,57;0;0;0;0;0;0;0;10;0;1
2869;D;"Ds;Dc";Djidji;Torino;24;5,88;5,75;0;0;0;0;0;0;0;4;1;0
4329;D;Dc;Nikolaou;Spezia;36;5,64;5,49;0;0;0;0;0;0;0;7;0;1
4378;D;"Ds;Dc";Ranieri L.;Salernitana;27;5,7;5,65;1;0;0;0;0;0;0;9;0;0
